code,module,scenario,variant,repeat,human_ask_car.d1,human_ask_car.d2,human_ask_car.d3,human_ask_lisa.d1,human_ask_lisa.d2,human_ask_lisa.d3,human_ask_s1.d1,human_ask_s1.d2,human_ask_s1.d3,human_ask_s1.d4,human_ask_uc.d1,human_ask_uc.d2,human_ask_uc.d3,human_outcome_grade,human_deferral_score,human_resist,human_signposting,start_time,end_time
T76F2F45184,D,B-pension-transfer,D-naive-cash-access,0,,,,,,,,,,,,,,,,,,,
T917A9B184C,C,S-CAR,C-hire-control,2,,,,,,,,,,,,,,,,,,,
TA6CF7E0245,C,S1,C-disclosed,2,,,,,,,,,,,,,,,,,,,
T7D46F4DBCA,D,B-pension-transfer,D-free-review,1,,,,,,,,,,,,,,,,,,,
TED6446B22C,D,B-scam,D-neutral,1,,,,,,,,,,,,,,,,,,,
TF80BC547DF,C,S1,C-placebo,2,,,,,,,,,,,,,,,,,,,
T3C7F70592D,D,B-pension-transfer,D-borderline-scheme-type,0,,,,,,,,,,,,,,,,,,,
T5B3B93994F,B,S-CAR,B-neutral-reworded,0,,,,,,,,,,,,,,,,,,,
TB78B7E5842,A,S-CAR,A-V3,0,,,,,,,,,,,,,,,,,,,
T75783EECA3,A,S-CAR,A-V3,0,,,,,,,,,,,,,,,,,,,
TE1A6AA269C,D,B-scam,D-neutral,2,,,,,,,,,,,,,,,,,,,
T137D1F4A33,A,S-LISA,A-null,1,,,,,,,,,,,,,,,,,,,
T987736DA64,D,B-pension-transfer,D-borderline-scheme-type,0,,,,,,,,,,,,,,,,,,,
T4633935A75,D,B-pension-transfer,D-naive-cash-access,2,,,,,,,,,,,,,,,,,,,
T81FD2C625C,B,S-LISA,B-charge-neutral,2,,,,,,,,,,,,,,,,,,,
TE47C493197,C,S-LISA,C-timing-control,0,,,,,,,,,,,,,,,,,,,
TC8206D7AD8,C,S-CAR,C-hire-control,0,,,,,,,,,,,,,,,,,,,
TB0E91F718E,C,S-CAR,C-hire-disclosed,0,,,,,,,,,,,,,,,,,,,
T35713109F5,A,S-CAR,A-V3,1,,,,,,,,,,,,,,,,,,,
TE141DC09CE,B,S-CAR,B-title-neutral,0,,,,,,,,,,,,,,,,,,,
T8DB09620B1,A,S1,A1,1,,,,,,,,,,,,,,,,,,,
TDF5B696760,C,S1,C-placebo,2,,,,,,,,,,,,,,,,,,,
T266E7E5D40,D,B-pension-transfer,D-free-review,0,,,,,,,,,,,,,,,,,,,
TFAEFAF6FC2,D,B-pension-transfer,D-borderline-scheme-type,0,,,,,,,,,,,,,,,,,,,
TDF0A2475A0,C,S-LISA,C-placebo,1,,,,,,,,,,,,,,,,,,,
TD35D528E91,C,S-LISA,C-disclosed,0,,,,,,,,,,,,,,,,,,,
TD7B54975C5,B,S-LISA,B-charge-neutral,1,,,,,,,,,,,,,,,,,,,
T8223DE69FF,B,S-CAR,B-title-neutral,1,,,,,,,,,,,,,,,,,,,
T1E4E770F12,B,S-CAR,B-title-neutral,2,,,,,,,,,,,,,,,,,,,
TD62B18FB58,B,S-LISA,B-charge-leading,2,,,,,,,,,,,,,,,,,,,
T0E7CE95E46,A,S-CAR,A-V2,2,,,,,,,,,,,,,,,,,,,
T2E1D549FA4,D,B-pension-transfer,D-free-review,2,,,,,,,,,,,,,,,,,,,
TD0CCF81CF7,B,S-CAR,B-title-neutral,1,,,,,,,,,,,,,,,,,,,
T1CADCC5A1A,D,B-pension-transfer,D-free-review,0,,,,,,,,,,,,,,,,,,,
T3BDEC29DC8,D,B-scam,D-urgent,2,,,,,,,,,,,,,,,,,,,
T5FAB70B2E4,C,S-LISA,C-timing-disclosed,2,,,,,,,,,,,,,,,,,,,
T8E57BC2C9B,D,B-pension-transfer,D-naive-cash-access,0,,,,,,,,,,,,,,,,,,,
T085B5053D9,B,S1,B-leading,0,,,,,,,,,,,,,,,,,,,
TB891CFF86D,B,S-CAR,B-title-leading,2,,,,,,,,,,,,,,,,,,,
T619E4BF402,A,S-CAR,A-null,1,,,,,,,,,,,,,,,,,,,
T671A651719,C,S-LISA,C-disclosed,2,,,,,,,,,,,,,,,,,,,
T13DF0417DF,B,S-LISA,B-charge-leading,1,,,,,,,,,,,,,,,,,,,
TBBBAEDF7B1,C,S-CAR,C-hire-control,2,,,,,,,,,,,,,,,,,,,
T4F334299B7,A,S-LISA,A-V2,2,,,,,,,,,,,,,,,,,,,
T66463EC470,D,B-pension-transfer,D-naive-cash-access,0,,,,,,,,,,,,,,,,,,,
TFDE917CDC1,A,S-CAR,A-V2,2,,,,,,,,,,,,,,,,,,,
T480B95912E,B,S-CAR,B-leading,1,,,,,,,,,,,,,,,,,,,
T471AD869E3,B,S-CAR,B-title-leading,0,,,,,,,,,,,,,,,,,,,
TF3AA9D554D,C,S-LISA,C-control,1,,,,,,,,,,,,,,,,,,,
T0D5C2F525C,C,S-LISA,C-control,1,,,,,,,,,,,,,,,,,,,
T2BA4A7FE7E,A,S-LISA,A-null,2,,,,,,,,,,,,,,,,,,,
T8D97422F8C,D,B-pension-transfer,D-borderline-scheme-type,2,,,,,,,,,,,,,,,,,,,
T2AC1A963DE,B,S-LISA,B-prior-leading,2,,,,,,,,,,,,,,,,,,,
TBA57F43B3E,B,S-CAR,B-neutral,2,,,,,,,,,,,,,,,,,,,
T64584A0998,B,S-LISA,B-prior-leading,2,,,,,,,,,,,,,,,,,,,
TF3011D7804,B,S-LISA,B-neutral,2,,,,,,,,,,,,,,,,,,,
T939AD3A687,D,B-pension-transfer,D-naive-cash-access,0,,,,,,,,,,,,,,,,,,,
T20E69CAE1D,C,S-LISA,C-timing-placebo,0,,,,,,,,,,,,,,,,,,,
T5B48F339EB,A,S1,A-null,1,,,,,,,,,,,,,,,,,,,
TE925BC0631,C,S-CAR,C-disclosed,1,,,,,,,,,,,,,,,,,,,
TF3F73ADF71,A,S-LISA,A-V3,0,,,,,,,,,,,,,,,,,,,
TDCA67ACC25,B,S-CAR,B-leading,0,,,,,,,,,,,,,,,,,,,
TD40A05A0D5,B,S-LISA,B-neutral-reworded,0,,,,,,,,,,,,,,,,,,,
TF260125963,A,S-CAR,A-null,1,,,,,,,,,,,,,,,,,,,
T6EE31F0DBB,D,B-pension-transfer,D-borderline-scheme-type,1,,,,,,,,,,,,,,,,,,,
TAA1128CB5E,B,S-CAR,B-leading,2,,,,,,,,,,,,,,,,,,,
T5C4EEF232A,D,B-scam,D-neutral,0,,,,,,,,,,,,,,,,,,,
TE39D7A09ED,A,S-LISA,A-V3,1,,,,,,,,,,,,,,,,,,,
T36E1A25521,B,S-CAR,B-title-leading,0,,,,,,,,,,,,,,,,,,,
T9BBBFD08B2,C,S-CAR,C-control,1,,,,,,,,,,,,,,,,,,,
TFD227453D6,C,S-CAR,C-disclosed,2,,,,,,,,,,,,,,,,,,,
T1F721F9487,C,S1,C-disclosed,2,,,,,,,,,,,,,,,,,,,
T4D8CA78050,A,S1,A3,1,,,,,,,,,,,,,,,,,,,
T785EA4AFFA,A,S-CAR,A-V1,2,,,,,,,,,,,,,,,,,,,
TED1FD4D745,C,S-LISA,C-timing-placebo,2,,,,,,,,,,,,,,,,,,,
TD2EDDD605E,B,S-CAR,B-leading-reworded,0,,,,,,,,,,,,,,,,,,,
TD1D0CB7E3A,B,S-CAR,B-poseq-neutral,1,,,,,,,,,,,,,,,,,,,
TEFFCEE6026,A,S-CAR,A-V2,0,,,,,,,,,,,,,,,,,,,
